State,City,,Population1,"Violent 
crime",Murder,Rape2,Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft",Arson3
,DENTON,2018,"139,262 ",203 ,2 ,59 ,46 ,96 ,"1,743 ",213 ,"1,404 ",126 ,1 
,,2019,,191 ,1 ,69 ,44 ,77 ,"1,615 ",193 ,"1,308 ",114 ,0 
,EL PASO,2018,"688,442 ","1,247 ",6 ,202 ,180 ,859 ,"5,187 ",564 ,"4,249 ",374 ,6 
,,2019,,"1,200 ",9 ,175 ,176 ,840 ,"4,909 ",541 ,"3,972 ",396 ,24 
,FRISCO,2018,"187,889 ",90 ,1 ,28 ,11 ,50 ,"1,226 ",125 ,"1,046 ",55 ,1 
,,2019,,78 ,1 ,25 ,15 ,37 ,"1,257 ",131 ,"1,068 ",58 ,5 
,GARLAND,2018,"239,577 ",333 ,7 ,52 ,119 ,155 ,"3,050 ",542 ,"2,100 ",408 ,10 
,,2019,,354 ,10 ,68 ,121 ,155 ,"3,363 ",508 ,"2,408 ",447 ,5 
,GRAND PRAIRIE,2018,"196,535 ",241 ,3 ,48 ,64 ,126 ,"2,087 ",289 ,"1,566 ",232 ,8 
,,2019,,216 ,4 ,33 ,75 ,104 ,"1,936 ",240 ,"1,444 ",252 ,8 
,HOUSTON5,2018,"2,344,966 ","12,194 ",139 ,609 ,"4,415 ","7,031 ","46,206 ","7,939 ","32,589 ","5,678 ",
,,2019,,"11,832 ",129 ,609 ,"4,309 ","6,785 ","48,251 ","8,360 ","33,863 ","6,028 ",
,IRVING,2018,"243,940 ",242 ,6 ,32 ,98 ,106 ,"2,827 ",377 ,"2,134 ",316 ,9 
,,2019,,292 ,2 ,23 ,158 ,109 ,"2,887 ",329 ,"2,228 ",330 ,6 
,KILLEEN,2018,"148,007 ",292 ,3 ,67 ,79 ,143 ,"1,703 ",465 ,"1,119 ",119 ,17 
,,2019,,296 ,5 ,59 ,61 ,171 ,"1,594 ",411 ,"1,025 ",158 ,16 
,LAREDO6,2018,"264,214 ",443 ,6 ,77 ,76 ,284 ,"3,170 ",351 ,"2,732 ",87 ,18 
,,2019,,451 ,2 ,55 ,84 ,310 ,"2,442 ",395 ,"1,908 ",139 ,25 
,LEAGUE CITY,2018,"108,275 ",44 ,1 ,19 ,9 ,15 ,883 ,90 ,723 ,70 ,8 
,,2019,,63 ,1 ,27 ,6 ,29 ,725 ,83 ,600 ,42 ,1 
,LUBBOCK,2018,"257,372 ","1,235 ",5 ,114 ,229 ,887 ,"5,543 ","1,098 ","3,823 ",622 ,34 
,,2019,,"1,261 ",7 ,134 ,234 ,886 ,"5,584 ","1,189 ","3,840 ",555 ,37 
,MCALLEN,2018,"144,363 ",57 ,0 ,20 ,14 ,23 ,"1,961 ",97 ,"1,841 ",23 ,2 
,,2019,,76 ,0 ,19 ,18 ,39 ,"1,725 ",66 ,"1,646 ",13 ,2 
,MCKINNEY,2018,"189,555 ",160 ,0 ,35 ,46 ,79 ,"1,009 ",119 ,813 ,77 ,7 
,,2019,,133 ,1 ,32 ,20 ,80 ,939 ,125 ,742 ,72 ,5 
,MESQUITE,2018,"144,558 ",313 ,4 ,29 ,109 ,171 ,"2,646 ",404 ,"1,773 ",469 ,4 
,,2019,,335 ,5 ,26 ,110 ,194 ,"2,514 ",321 ,"1,800 ",393 ,3 
,MIDLAND,2018,"140,072 ",179 ,3 ,34 ,25 ,117 ,"1,339 ",193 ,"1,002 ",144 ,11 
,,2019,,201 ,2 ,35 ,20 ,144 ,"1,749 ",175 ,"1,363 ",211 ,1 
,ODESSA,2018,"119,545 ",536 ,3 ,48 ,50 ,435 ,"1,453 ",239 ,"1,028 ",186 ,5 
,,2019,,603 ,3 ,72 ,55 ,473 ,"1,644 ",213 ,"1,212 ",219 ,8 
,PASADENA6,2018,"154,101 ",355 ,3 ,56 ,90 ,206 ,"1,792 ",267 ,"1,356 ",169 ,4 
,,2019,,393 ,1 ,44 ,85 ,263 ,"1,876 ",281 ,"1,357 ",238 ,4 
,PEARLAND,2018,"124,179 ",70 ,0 ,11 ,15 ,44 ,887 ,104 ,734 ,49 ,3 
,,2019,,52 ,3 ,16 ,20 ,13 ,"1,053 ",141 ,866 ,46 ,1 
,RICHARDSON6,2018,"119,480 ",67 ,2 ,5 ,25 ,35 ,"1,224 ",188 ,932 ,104 ,3 
,,2019,,84 ,1 ,12 ,31 ,40 ,"1,177 ",171 ,882 ,124 ,0 
,ROUND ROCK,2018,"127,354 ",79 ,1 ,20 ,13 ,45 ,"1,170 ",156 ,988 ,26 ,2 
,,2019,,77 ,1 ,10 ,28 ,38 ,"1,160 ",70 ,"1,065 ",25 ,2 
,SAN ANGELO,2018,"101,084 ",198 ,1 ,52 ,24 ,121 ,"1,611 ",280 ,"1,221 ",110 ,1 
,,2019,,176 ,4 ,30 ,13 ,129 ,"1,576 ",260 ,"1,202 ",114 ,6 
,SAN ANTONIO,2018,"1,539,328 ","4,916 ",58 ,680 ,873 ,"3,305 ","30,590 ","4,642 ","22,993 ","2,955 ",88 
,,2019,,"5,171 ",53 ,717 ,926 ,"3,475 ","32,384 ","4,142 ","24,750 ","3,492 ",88 
,TYLER,2018,"106,159 ",178 ,0 ,32 ,28 ,118 ,"1,375 ",179 ,"1,131 ",65 ,0 
,,2019,,191 ,0 ,33 ,22 ,136 ,"1,555 ",215 ,"1,258 ",82 ,0 
,WACO,2018,"138,091 ",376 ,2 ,56 ,57 ,261 ,"2,385 ",576 ,"1,651 ",158 ,11 
,,2019,,377 ,5 ,52 ,53 ,267 ,"2,247 ",404 ,"1,703 ",140 ,4 
,WICHITA FALLS,2018,"104,738 ",199 ,4 ,45 ,67 ,83 ,"1,523 ",304 ,"1,120 ",99 ,0 
,,2019,,186 ,3 ,48 ,34 ,101 ,"1,495 ",258 ,"1,134 ",103 ,1 
UTAH,PROVO,2018,"117,986 ",115 ,1 ,42 ,9 ,63 ,"1,012 ",120 ,823 ,69 ,2 
,,2019,,74 ,1 ,26 ,5 ,42 ,795 ,80 ,667 ,48 ,1 
,SALT LAKE CITY,2018,"202,633 ",718 ,3 ,125 ,201 ,389 ,"5,969 ",817 ,"4,417 ",735 ,13 
,,2019,,673 ,7 ,119 ,191 ,356 ,"5,395 ",608 ,"4,161 ",626 ,13 
,WEST JORDAN,2018,"115,392 ",130 ,0 ,24 ,26 ,80 ,"1,492 ",165 ,"1,169 ",158 ,1 
,,2019,,112 ,0 ,13 ,11 ,88 ,"1,187 ",132 ,969 ,86 ,0 
,WEST VALLEY,2018,"137,132 ",488 ,6 ,93 ,79 ,310 ,"2,446 ",409 ,"1,616 ",421 ,9 
,,2019,,474 ,4 ,88 ,71 ,311 ,"2,055 ",310 ,"1,434 ",311 ,8 
VIRGINIA,ALEXANDRIA,2018,"162,588 ",125 ,1 ,16 ,36 ,72 ,"1,082 ",59 ,863 ,160 ,3 
,,2019,,137 ,1 ,7 ,44 ,85 ,"1,057 ",41 ,857 ,159 ,2 
,CHESAPEAKE,2018,"242,310 ",506 ,1 ,55 ,70 ,380 ,"2,404 ",332 ,"1,933 ",139 ,5 
,,2019,,524 ,3 ,51 ,76 ,394 ,"2,427 ",253 ,"2,039 ",135 ,7 
,NEWPORT NEWS,2018,"178,734 ",445 ,16 ,49 ,100 ,280 ,"2,586 ",412 ,"1,949 ",225 ,17 
,,2019,,472 ,8 ,27 ,78 ,359 ,"2,097 ",228 ,"1,711 ",158 ,21 
,NORFOLK,2018,"244,347 ",554 ,20 ,63 ,144 ,327 ,"3,994 ",321 ,"3,295 ",378 ,8 
,,2019,,601 ,13 ,70 ,140 ,378 ,"3,850 ",439 ,"3,070 ",341 ,5 
,ROANOKE,2018,"100,042 ",208 ,5 ,26 ,53 ,124 ,"2,009 ",257 ,"1,605 ",147 ,10 
,,2019,,209 ,6 ,28 ,45 ,130 ,"2,069 ",226 ,"1,664 ",179 ,8 
,VIRGINIA BEACH,2018,"451,001 ",275 ,6 ,36 ,89 ,144 ,"3,650 ",298 ,"3,107 ",245 ,20 
,,2019,,250 ,15 ,42 ,87 ,106 ,"3,615 ",241 ,"3,099 ",275 ,15 
WASHINGTON,BELLEVUE,2018,"146,913 ",95 ,0 ,14 ,34 ,47 ,"2,230 ",255 ,"1,814 ",161 ,8 
,,2019,,107 ,1 ,15 ,36 ,55 ,"2,032 ",206 ,"1,688 ",138 ,2 
,EVERETT,2018,"111,091 ",182 ,1 ,23 ,50 ,108 ,"2,444 ",349 ,"1,561 ",534 ,6 
,,2019,,168 ,4 ,20 ,38 ,106 ,"1,965 ",220 ,"1,380 ",365 ,7 
,KENT,2018,"129,870 ",238 ,4 ,47 ,101 ,86 ,"3,065 ",409 ,"2,120 ",536 ,9 
,,2019,,221 ,1 ,45 ,101 ,74 ,"2,647 ",418 ,"1,750 ",479 ,3 
,SPOKANE,2018,"218,222 ",814 ,4 ,190 ,109 ,511 ,"7,490 ",978 ,"5,698 ",814 ,19 
,,2019,,761 ,2 ,125 ,136 ,498 ,"6,308 ",856 ,"4,821 ",631 ,25 
WISCONSIN,GREEN BAY,2018,"105,281 ",247 ,1 ,43 ,25 ,178 ,817 ,106 ,663 ,48 ,3 
,,2019,,242 ,2 ,35 ,27 ,178 ,812 ,109 ,640 ,63 ,3 
,MADISON,2018,"258,455 ",501 ,2 ,57 ,90 ,352 ,"2,922 ",416 ,"2,264 ",242 ,5 
,,2019,,434 ,0 ,49 ,97 ,288 ,"2,834 ",428 ,"2,134 ",272 ,5 
,MILWAUKEE,2018,"595,619 ","4,190 ",53 ,284 ,"1,080 ","2,773 ","8,606 ","1,967 ","4,266 ","2,373 ",88 
,,2019,,"3,429 ",44 ,169 ,761 ,"2,455 ","6,241 ","1,389 ","3,325 ","1,527 ",84 
