State,City,,Population1,"Violent 
crime",Murder,Rape2,Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft",Arson3
,GLENDALE,2018,"204,724 ",83 ,0 ,16 ,24 ,43 ,"1,491 ",188 ,"1,156 ",147 ,5 
,,2019,,111 ,4 ,9 ,44 ,54 ,"1,682 ",248 ,"1,298 ",136 ,8 
,HAYWARD,2018,"162,881 ",330 ,0 ,55 ,170 ,105 ,"2,434 ",262 ,"1,468 ",704 ,9 
,,2019,,265 ,2 ,28 ,128 ,107 ,"2,385 ",237 ,"1,528 ",620 ,16 
,HUNTINGTON BEACH,2018,"203,428 ",218 ,0 ,41 ,59 ,118 ,"1,871 ",227 ,"1,485 ",159 ,9 
,,2019,,169 ,0 ,29 ,44 ,96 ,"2,025 ",290 ,"1,577 ",158 ,10 
,INGLEWOOD,2018,"110,726 ",349 ,7 ,27 ,156 ,159 ,"1,382 ",221 ,822 ,339 ,7 
,,2019,,352 ,1 ,30 ,189 ,132 ,"1,143 ",160 ,667 ,316 ,4 
,IRVINE,2018,"288,052 ",82 ,0 ,22 ,22 ,38 ,"1,670 ",276 ,"1,307 ",87 ,2 
,,2019,,87 ,0 ,25 ,32 ,30 ,"1,905 ",312 ,"1,516 ",77 ,2 
,JURUPA VALLEY,2018,"107,605 ",134 ,5 ,8 ,45 ,76 ,"1,389 ",201 ,791 ,397 ,0 
,,2019,,152 ,4 ,3 ,43 ,102 ,"1,238 ",206 ,662 ,370 ,2 
,LANCASTER,2018,"160,818 ",586 ,4 ,49 ,142 ,391 ,"1,855 ",512 ,981 ,362 ,14 
,,2019,,703 ,6 ,43 ,192 ,462 ,"1,607 ",358 ,952 ,297 ,25 
,LONG BEACH,2018,"470,445 ","1,702 ",11 ,107 ,527 ,"1,057 ","5,936 ","1,077 ","3,688 ","1,171 ",57 
,,2019,,"1,164 ",13 ,122 ,455 ,574 ,"5,628 ","1,117 ","3,434 ","1,077 ",86 
,LOS ANGELES,2018,"4,029,741 ","14,709 ",132 ,"1,324 ","5,139 ","8,114 ","50,093 ","7,869 ","33,364 ","8,860 ",897 
,,2019,,"14,236 ",127 ,"1,097 ","4,779 ","8,233 ","48,049 ","7,145 ","33,158 ","7,746 ",735 
,MODESTO,2018,"215,822 ",963 ,8 ,47 ,204 ,704 ,"3,965 ",564 ,"2,819 ",582 ,26 
,,2019,,890 ,8 ,40 ,216 ,626 ,"3,752 ",643 ,"2,504 ",605 ,33 
,MORENO VALLEY,2018,"209,145 ",396 ,7 ,17 ,141 ,231 ,"2,933 ",591 ,"1,828 ",514 ,5 
,,2019,,390 ,4 ,10 ,137 ,239 ,"2,728 ",439 ,"1,749 ",540 ,3 
,MURRIETA,2018,"114,706 ",49 ,2 ,5 ,18 ,24 ,661 ,128 ,435 ,98 ,2 
,,2019,,34 ,0 ,9 ,10 ,15 ,748 ,108 ,523 ,117 ,3 
