State,City,,Population1,"Violent
crime",Murder,Forcible rape,Robbery,Aggravated assault,"Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2,,
,SACRAMENTO,2010,,"4,112",33,165,"1,491","2,423","20,200","5,027","11,179","3,994",202,,
,,2011,"471,972","3,354",36,134,"1,162","2,022","18,563","4,141","11,087","3,335",146,,
,SALINAS,2010,,"1,162",19,23,365,755,"4,648","1,358","2,437",853,23,,
,,2011,"152,210","1,115",15,34,374,692,"4,492","1,140","2,189","1,163",22,,
,SAN BERNARDINO ,2010,,"1,624",31,66,632,895,"8,967","2,318","4,928","1,721",61,,
,,2011,"212,392","1,861",30,77,720,"1,034","8,461","2,359","4,446","1,656",60,,
,SAN DIEGO,2010,,"5,616",29,300,"1,636","3,651","30,753","6,387","17,977","6,389",155,,
,,2011,"1,316,919","5,104",38,293,"1,456","3,317","29,709","5,840","17,610","6,259",153,,
,SAN FRANCISCO,2010,,"5,747",48,133,"3,180","2,386","32,365","4,557","23,905","3,903",156,,
,,2011,"814,701","5,374",50,131,"3,088","2,105","32,886","4,408","24,304","4,174",161,,
,SAN JOSE   ,2010,,"3,215",20,253,976,"1,966","22,081","3,940","12,730","5,411",181,,
,,2011,"957,062","3,206",39,226,"1,101","1,840","21,972","4,223","12,628","5,121",165,,
,SANTA ANA,2010,,"1,510",28,88,719,675,"6,580","1,116","4,189","1,275",139,,
,,2011,"328,343","1,313",13,62,591,647,"6,575","1,067","4,222","1,286",101,,
,SANTA CLARA,2010,,182,2,7,62,111,"3,016",481,"2,210",325,16,,
,,2011,"117,837",177,2,14,67,94,"2,933",409,"2,202",322,20,,
,SANTA CLARITA,2010,,375,1,21,123,230,"2,670",574,"1,853",243,18,,
,,2011,"178,393",262,5,18,76,163,"2,568",567,"1,766",235,19,,
,SANTA MARIA,2010,,771,3,32,152,584,"2,319",506,"1,496",317,8,,
,,2011,"100,723",716,7,18,153,538,"2,429",655,"1,510",264,9,,
,SANTA ROSA,2010,,767,2,56,166,543,"4,096",757,"3,041",298,9,,
,,2011,"169,788",682,5,58,134,485,"3,706",637,"2,794",275,16,,
,SIMI VALLEY,2010,,129,1,14,37,77,"2,209",388,"1,687",134,6,,
,,2011,"125,698",116,0,9,41,66,"1,697",314,"1,278",105,14,,
,STOCKTON,2010,,"4,033",49,107,"1,413","2,464","16,177","4,482","9,654","2,041",62,,
,,2011,"295,136","4,155",58,90,"1,323","2,684","15,463","4,133","9,651","1,679",86,,
,SUNNYVALE,2010,,169,0,26,59,84,"2,227",407,"1,574",246,51,,
,,2011,"141,728",150,3,21,68,58,"1,970",393,"1,351",226,14,,
,TEMECULA,2010,,74,2,3,42,27,"2,351",535,"1,642",174,5,,
,,2011,"101,274",95,0,7,54,34,"2,406",547,"1,700",159,0,,
,THOUSAND OAKS,2010,,139,1,16,50,72,"2,036",358,"1,606",72,9,,
,,2011,"128,172",137,1,10,34,92,"1,788",319,"1,409",60,12,,
,TORRANCE,2010,,290,4,19,152,115,"2,859",516,"2,008",335,21,,
,,2011,"147,148",185,2,17,91,75,"2,767",509,"1,957",301,11,,
,VALLEJO,2010,,822,17,59,458,288,"5,101","2,249","1,675","1,177",35,,
,,2011,"117,305",903,18,53,435,397,"5,244","2,468","1,716","1,060",46,,
,VENTURA,2010,,263,3,16,108,136,"3,458",652,"2,654",152,7,,
,,2011,"107,684",326,1,20,135,170,"3,320",657,"2,468",195,5,,
,VICTORVILLE,2010,,681,6,38,256,381,"3,674","1,274","1,964",436,26,,
,,2011,"117,266",686,6,37,261,382,"3,931","1,359","2,086",486,26,,
,VISALIA,2010,,578,6,26,176,370,"5,334","1,237","3,497",600,8,,
,,2011,"125,905",483,5,40,95,343,"5,121","1,110","3,466",545,8,,
,WEST COVINA,2010,,318,0,19,120,179,"2,979",531,"1,854",594,2,,
,,2011,"107,345",280,1,20,124,135,"3,249",526,"2,212",511,1,,
COLORADO,ARVADA,2010,,136,1,30,28,77,"2,719",387,"2,125",207,14,,
