"State","Year","Population","Violent Crime","Murder","Rape","Robbery","Aggravated Assault","Property Crime","Burglary","Larceny Theft","Motor Vehicle Theft","Arson"
"OKLAHOMA",2014,"2244246","8016","76","768","1952","5220","47860","11844","29972","6044","234"
"OREGON",2014,"643820","1096","2","142","270","682","13326","1966","10132","1228","58"
"PENNSYLVANIA",2014,"3556350","16214","244","1270","6942","7758","54752","10740","38382","5630","428"
"RHODE ISLAND",2014,"357280","842","14","90","266","472","6180","1342","4022","816","30"
"SOUTH CAROLINA",2014,"470922","998","26","112","282","578","8470","1120","6706","644","14"
"SOUTH DAKOTA",2014,"334678","790","4","156","96","534","4618","804","3556","258","24"
"TENNESSEE",2014,"3850132","23024","242","1426","5360","15996","89794","20490","63454","5850","460"
"TEXAS",2014,"4013770","7582","78","1184","1852","4468","60060","12236","43658","4166","248"
"UTAH",2014,"384736","1332","2","226","386","718","14710","1460","11614","1636","92"
"VIRGINIA",2014,"3234890","5278","152","438","1696","2992","45160","6782","35876","2502","276"
"WASHINGTON",2014,"2325314","6270","48","456","2236","3530","64332","11612","43392","9328","216"
"WISCONSIN",2014,"1902282","9226","84","520","3368","5254","33024","6096","20772","6156","238"
"ALASKA",2015,"602478","3230","32","646","542","2010","11464","1622","9032","810","126"
"ARIZONA",2015,"4173116","7416","60","1012","1922","4422","69630","9518","56388","3724","350"
"ARKANSAS",2015,"397294","2620","28","158","612","1822","12200","2338","9112","750","94"
"CALIFORNIA",2015,"38390608","93640","972","7086","34386","51196","542806","97158","352902","92746","4350"
"COLORADO",2015,"4553858","10356","92","1788","2416","6060","75498","12830","53200","9468","430"
"CONNECTICUT",2015,"1283990","4204","64","206","1698","2236","18690","2878","12956","2856","92"
"FLORIDA",2015,"9225828","28270","370","1950","7510","18440","164074","29398","121086","13590","532"
"HAWAII",2015,"1998614","2316","24","294","876","1122","27672","4144","20288","3240","252"
"IDAHO",2015,"437688","624","0","136","34","454","4562","616","3666","280","46"
"ILLINOIS",2015,"7201794","26462","482","1830","8992","15158","91976","15102","66476","10398","656"
"INDIANA",2015,"962732","2256","44","218","912","1082","17066","3244","12858","964","134"
"KANSAS",2015,"898332","1182","14","288","264","616","11774","1748","8718","1308","34"
"KENTUCKY",2015,"1989254","5136","94","400","1870","2772","38236","8298","26170","3768","54"
"LOUISIANA",2015,"1894078","7482","270","568","2610","4034","40360","8046","28510","3804","246"
"MARYLAND",2015,"1242504","8448","288","280","3652","4228","28388","7154","16410","4824","264"
"MASSACHUSETTS",2015,"1118478","3938","36","148","1084","2670","14054","2962","9888","1204","58"
"MICHIGAN",2015,"2474568","15074","290","944","3880","9960","39560","9028","22130","8402","892"
"MINNESOTA",2015,"1653484","6050","44","592","2208","3206","26918","5490","18308","3120","232"
"MISSOURI",2015,"2387756","14838","276","1012","3740","9810","60016","11930","39018","9068","384"
"MONTANA",2015,"219994","486","8","66","82","330","4808","598","3382","828","12"
"NEBRASKA",2015,"1457674","3368","52","366","866","2084","23860","3408","17888","2564","150"
"NEVADA",2015,"4637590","17270","140","1424","5556","10150","63290","18982","34890","9418","206"
"NEW HAMPSHIRE",2015,"221322","646","4","74","224","344","4198","718","3280","200","26"
"NEW JERSEY",2015,"1488684","3354","46","186","1488","1634","13574","3074","8354","2146","106"
"NEW YORK",2015,"1868010","6350","88","420","2230","3612","25224","5082","17808","2334","290"
"NORTH DAKOTA",2015,"236980","354","6","58","42","248","3090","642","2214","234","8"
"OHIO",2015,"2968986","9912","198","1398","4290","4026","61730","15332","41116","5282","976"
"OKLAHOMA",2015,"2276572","8262","114","846","1946","5356","44274","10874","28028","5372","258"
"OREGON",2015,"649856","1006","4","122","254","626","12654","1726","9820","1108","66"
"PENNSYLVANIA",2015,"4185804","18186","286","1530","7362","9008","60650","10982","43936","5732","512"
"SOUTH CAROLINA",2015,"748262","2198","42","238","538","1380","14872","2222","11286","1364","30"
"SOUTH DAKOTA",2015,"344626","702","2","126","42","532","5122","934","3866","322","34"
"TENNESSEE",2015,"3901770","22606","222","1454","5246","15684","87188","19108","62372","5708","374"
"TEXAS",2015,"24109754","64928","842","6336","21566","36184","425252","76682","307340","41230","2172"
"UTAH",2015,"230588","162","0","70","20","72","2190","200","1848","142","2"
"VIRGINIA",2015,"3252676","5232","130","470","1738","2894","42164","6024","33670","2470","296"
"WASHINGTON",2015,"3070198","7304","46","548","2542","4168","75216","14078","51766","9372","262"
"WISCONSIN",2015,"1908704","9900","154","546","3610","5590","31770","6636","18798","6336","246"
"ALABAMA",2016,"425098","3464","88","150","920","2306","11750","2636","7614","1500","152"
"ALASKA",2016,"598194","3384","18","604","652","2110","13706","2062","9802","1842","76"
